kind,size,size_kb,root,depth,path,nested_under,rollup_parent
cache-like,157.5 MiB,161292,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/BraveSoftware/Brave-Browser,/Users/yaniv/Library/Caches/BraveSoftware,false
cache-like,156.0 MiB,159716,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/com.operasoftware.Opera/Default,/Users/yaniv/Library/Caches/com.operasoftware.Opera,false
support/container,154.1 MiB,157748,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.wallpaper.extension.image,,false
cache-like,148.4 MiB,151964,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/Comet/Default,/Users/yaniv/Library/Caches/Comet,false
cache-like,144.7 MiB,148172,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/company.thebrowser.dia/ModelFileCache,/Users/yaniv/Library/Caches/company.thebrowser.dia,false
support/container,138.8 MiB,142080,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Code - Insiders/blob_storage,/Users/yaniv/Library/Application Support/Code - Insiders,false
support/container,132.0 MiB,135148,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/com.openai.atlas/browser-data,/Users/yaniv/Library/Application Support/com.openai.atlas,false
support/container,112.8 MiB,115488,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/ru.keepcoder.Telegram,,false
support/container,105.5 MiB,108080,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.microsoft.Word,,false
support/container,104.3 MiB,106852,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.microsoft.Outlook,,false
support/container,91.4 MiB,93580,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.photoanalysisd,,false
cache-like,91.2 MiB,93424,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Code/CachedData,/Users/yaniv/Library/Application Support/Code,false
support/container,84.5 MiB,86544,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.wallpaper.agent,,false
cache-like,83.1 MiB,85056,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Microsoft Edge/extensions_crx_cache,/Users/yaniv/Library/Application Support/Microsoft Edge,false
support/container,82.8 MiB,84820,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/com.operasoftware.Opera/Default,/Users/yaniv/Library/Application Support/com.operasoftware.Opera,false
support/container,79.2 MiB,81096,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.iBooksX,,false
support/container,75.3 MiB,77076,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Firefox/Profiles,/Users/yaniv/Library/Application Support/Firefox,false
cache-like,75.1 MiB,76908,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Comet/extensions_crx_cache,/Users/yaniv/Library/Application Support/Comet,false
