kind,size,size_kb,path
support/container,2.5 MiB,2516,/Users/yaniv/Library/Containers/com.apple.iCal.CalendarWidgetExtension
support/container,2.4 MiB,2472,/Users/yaniv/Library/Application Support/com.operasoftware.Opera/GrShaderCache
cache-like,2.4 MiB,2452,/Users/yaniv/Library/Caches/askpermissiond
cache-like,2.3 MiB,2368,/Users/yaniv/Library/Caches/PassKit
cache-like,2.3 MiB,2360,/Users/yaniv/Library/Caches/PassKit/PassAssetCache
cache-like,2.3 MiB,2328,/Users/yaniv/Library/Logs/zoom.us
cache-like,2.3 MiB,2316,/Users/yaniv/Library/Logs/zoom.us/zoom_feedback
support/container,2.2 MiB,2268,/Users/yaniv/Library/Application Support/Oracle Backup
support/container,2.2 MiB,2260,/Users/yaniv/Library/Containers/com.apple.Photos
support/container,2.2 MiB,2252,/Users/yaniv/Library/Application Support/Oracle
cache-like,2.2 MiB,2216,/Users/yaniv/Library/Caches/com.apple.shazamd
cache-like,2.2 MiB,2212,/Users/yaniv/Library/Caches/com.apple.amsondevicestoraged
cache-like,2.2 MiB,2212,/Users/yaniv/Library/Caches/com.microsoft.VSCodeInsiders
cache-like,2.1 MiB,2188,/Users/yaniv/Library/Caches/com.apple.appstoreagent/fsCachedData
cache-like,2.1 MiB,2176,/Users/yaniv/Library/Caches/com.apple.nbagent
cache-like,2.1 MiB,2148,/Users/yaniv/Library/Caches/com.apple.appleaccountd
cache-like,2.1 MiB,2148,/Users/yaniv/Library/Caches/com.apple.cloudd
support/container,2.1 MiB,2148,/Users/yaniv/Library/Application Support/com.apple.sbd
support/container,2.1 MiB,2148,/Users/yaniv/Library/Application Support/com.apple.sbd/97B59967-41D5-4470-A900-EA3D113430A5
cache-like,2.1 MiB,2132,/Users/yaniv/Library/Caches/com.microsoft.EdgeUpdater
cache-like,2.1 MiB,2132,/Users/yaniv/Library/Caches/com.microsoft.VSCode
cache-like,2.1 MiB,2132,/Users/yaniv/Library/Caches/com.adobe.acrobat.AcroPatchInstall
cache-like,2.1 MiB,2120,/Users/yaniv/Library/Caches/com.apple.geoanalyticsd
support/container,2.1 MiB,2112,/Users/yaniv/Library/Application Support/com.apple.siri.inference
cache-like,2.1 MiB,2100,/Users/yaniv/Library/HTTPStorages/com.google.GoogleUpdater
cache-like,2.1 MiB,2100,/Users/yaniv/Library/HTTPStorages/com.apple.nbagent
cache-like,2.1 MiB,2100,/Users/yaniv/Library/HTTPStorages/com.apple.amsaccountsd
cache-like,2.0 MiB,2088,/Users/yaniv/Library/HTTPStorages/com.apple.managedappdistributionagent
cache-like,2.0 MiB,2088,/Users/yaniv/Library/HTTPStorages/com.googlecode.iterm2
cache-like,2.0 MiB,2088,/Users/yaniv/Library/HTTPStorages/com.microsoft.SyncReporter
cache-like,2.0 MiB,2088,/Users/yaniv/Library/HTTPStorages/com.apple.iCloudHelper
support/container,2.0 MiB,2076,/Users/yaniv/Library/Application Support/Oracle/Oracle Documents
support/container,2.0 MiB,2072,/Users/yaniv/Library/Application Support/Microsoft Edge/Safe Browsing
support/container,2.0 MiB,2036,/Users/yaniv/Library/Containers/com.apple.clock.WorldClockWidget
support/container,2.0 MiB,2032,/Users/yaniv/Library/Application Support/Cursor/User
support/container,2.0 MiB,2020,/Users/yaniv/Library/Application Support/Slack/IndexedDB
support/container,1.9 MiB,1984,/Users/yaniv/Library/Application Support/com.operasoftware.Opera/CertificateRevocation
cache-like,1.9 MiB,1944,/Users/yaniv/Library/Logs/Adobe
cache-like,1.8 MiB,1852,/Users/yaniv/Library/Caches/com.apple.AppleMediaServices/PaymentSheetsUI
cache-like,1.7 MiB,1772,/Users/yaniv/Library/Caches/com.apple.storekitagent/fsCachedData
support/container,1.7 MiB,1704,/Users/yaniv/Library/Application Support/Microsoft Edge/ZxcvbnData
support/container,1.7 MiB,1692,/Users/yaniv/Library/Application Support/Microsoft Edge/Typosquatting
support/container,1.6 MiB,1664,/Users/yaniv/Library/Application Support/Comet/ZxcvbnData
support/container,1.6 MiB,1652,/Users/yaniv/Library/Application Support/com.openai.atlas/statsig
support/container,1.6 MiB,1636,/Users/yaniv/Library/Application Support/Code/CachedProfilesData
support/container,1.6 MiB,1608,/Users/yaniv/Library/Application Support/LM Studio/GPUCache
cache-like,1.5 MiB,1584,/Users/yaniv/Library/Caches/com.apple.AppleMediaServices/Metrics
support/container,1.5 MiB,1512,/Users/yaniv/Library/Containers/com.apple.podcasts.widget
support/container,1.4 MiB,1468,/Users/yaniv/Library/Application Support/Code/User
cache-like,1.4 MiB,1464,/Users/yaniv/Library/Caches/com.apple.passd
support/container,1.4 MiB,1436,/Users/yaniv/Library/Application Support/Microsoft Edge/ProvenanceDataTensors
support/container,1.4 MiB,1412,/Users/yaniv/Library/Containers/com.apple.systempreferences.SpotlightIndexExtension
support/container,1.4 MiB,1412,/Users/yaniv/Library/Containers/com.apple.systempreferences
support/container,1.4 MiB,1408,/Users/yaniv/Library/Group Containers/UBF8T346G9.com.microsoft.rdc
support/container,1.3 MiB,1380,/Users/yaniv/Library/Application Support/Code/logs
cache-like,1.3 MiB,1300,/Users/yaniv/Library/Caches/Animoji
cache-like,1.3 MiB,1288,/Users/yaniv/Library/Caches/com.apple.Spotlight/com.apple.e5rt.e5bundlecache
support/container,1.2 MiB,1240,/Users/yaniv/Library/Application Support/Code/Crashpad
cache-like,1.2 MiB,1236,/Users/yaniv/Library/Caches/com.sonos.macController2
support/container,1.2 MiB,1180,/Users/yaniv/Library/Application Support/Code - Insiders/CachedProfilesData
support/container,1.1 MiB,1160,/Users/yaniv/Library/Application Support/com.apple.ap.promotedcontentd
cache-like,1.1 MiB,1152,/Users/yaniv/Library/Caches/com.apple.ctcategories.service/fsCachedData
support/container,1.1 MiB,1148,/Users/yaniv/Library/Containers/com.apple.Photos.PhotosReliveWidget
cache-like,1.1 MiB,1144,/Users/yaniv/Library/Caches/com.apple.amsaccountsd/fsCachedData
support/container,1.1 MiB,1144,/Users/yaniv/Library/Group Containers/73YQY62QM3.com.displaylink.DisplayLinkShared
support/container,1.1 MiB,1136,/Users/yaniv/Library/Containers/com.apple.tips
support/container,1.1 MiB,1132,/Users/yaniv/Library/Containers/com.eltima.cmd1.mas
support/container,1.1 MiB,1092,/Users/yaniv/Library/Application Support/Comet/OpenCookieDatabase
support/container,1.1 MiB,1092,/Users/yaniv/Library/Group Containers/group.com.apple.storekit
support/container,1.1 MiB,1088,/Users/yaniv/Library/Containers/com.apple.mobilephone
support/container,1.1 MiB,1084,/Users/yaniv/Library/Application Support/Oracle Backup/Cache
support/container,1.1 MiB,1084,/Users/yaniv/Library/Application Support/Code - Insiders/logs
cache-like,1.1 MiB,1076,/Users/yaniv/Library/Caches/com.googlecode.iterm2
cache-like,1.0 MiB,1064,/Users/yaniv/Library/HTTPStorages/com.apple.AMPLibraryAgent
cache-like,1.0 MiB,1048,/Users/yaniv/Library/Caches/ChatGPTHelper
support/container,996.0 KiB,996,/Users/yaniv/Library/Application Support/Cursor/CachedProfilesData
