app,bundle_id,kind,size,size_kb,reason,path,also_matched_by
zoom.us,us.zoom.xos,support/container,331.1 MiB,338996,safe fuzzy exact/segment match,/Users/yaniv/Library/Application Support/zoom.us,
Google Chrome,com.google.Chrome,cache-like-inside-support,277.6 MiB,284228,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/component_crx_cache,
Microsoft Edge,com.microsoft.edgemac,cache-like-inside-support,240.0 MiB,245768,cache-like descendant,/Users/yaniv/Library/Application Support/Microsoft/EdgeUpdater/crx_cache,
Rancher Desktop,io.rancherdesktop.app,cache-like,183.7 MiB,188108,safe fuzzy exact/segment match,/Users/yaniv/Library/Caches/rancher-desktop,
Rancher Desktop,io.rancherdesktop.app,cache-like,183.7 MiB,188108,app-name exact,/Users/yaniv/Library/Caches/Rancher-Desktop,
Microsoft Edge,com.microsoft.edgemac,cache-like-inside-support,176.7 MiB,180900,cache-like descendant,/Users/yaniv/Library/Application Support/Microsoft Edge/component_crx_cache,
Code,com.microsoft.VSCode,cache-like-inside-support,158.5 MiB,162328,cache-like descendant,/Users/yaniv/Library/Application Support/Code/Cache,
Brave Browser,com.brave.Browser,cache-like,157.5 MiB,161292,safe fuzzy exact/segment match,/Users/yaniv/Library/Caches/BraveSoftware/Brave-Browser,
Opera,com.operasoftware.Opera,cache-like,156.0 MiB,159716,bundle-id cache,/Users/yaniv/Library/Caches/com.operasoftware.Opera,
Code - Insiders,com.microsoft.VSCodeInsiders,support/container,155.6 MiB,159300,safe fuzzy exact/segment match,/Users/yaniv/Library/Application Support/Code - Insiders,
Comet,ai.perplexity.comet,cache-like,148.4 MiB,151964,safe fuzzy exact/segment match,/Users/yaniv/Library/Caches/Comet,
Opera,com.operasoftware.Opera,support/container,146.4 MiB,149940,bundle-id support,/Users/yaniv/Library/Application Support/com.operasoftware.Opera,
Dia,company.thebrowser.dia,cache-like,145.2 MiB,148636,bundle-id cache,/Users/yaniv/Library/Caches/company.thebrowser.dia,
Brave Browser,com.brave.Browser,cache-like-inside-support,126.7 MiB,129708,cache-like descendant,/Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser/extensions_crx_cache,
Telegram,ru.keepcoder.Telegram,support/container,112.8 MiB,115488,safe fuzzy exact/segment match,/Users/yaniv/Library/Containers/ru.keepcoder.Telegram,
Microsoft Word,com.microsoft.Word,support/container,105.5 MiB,108080,bundle-id container,/Users/yaniv/Library/Containers/com.microsoft.Word,
Microsoft Outlook,com.microsoft.Outlook,support/container,104.3 MiB,106852,bundle-id container,/Users/yaniv/Library/Containers/com.microsoft.Outlook,
Dia,company.thebrowser.dia,support/container,93.5 MiB,95736,safe fuzzy exact/segment match,/Users/yaniv/Library/Application Support/Dia,
Code,com.microsoft.VSCode,cache-like-inside-support,91.0 MiB,93200,cache-like descendant,/Users/yaniv/Library/Application Support/Code/CachedData,
Google Chrome Canary,com.google.Chrome.canary,cache-like-inside-support,88.1 MiB,90220,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome Canary/component_crx_cache,
Microsoft Edge,com.microsoft.edgemac,cache-like-inside-support,83.1 MiB,85056,cache-like descendant,/Users/yaniv/Library/Application Support/Microsoft Edge/extensions_crx_cache,
Firefox,org.mozilla.firefox,support/container,76.1 MiB,77884,app-name exact,/Users/yaniv/Library/Application Support/firefox,
Firefox,org.mozilla.firefox,support/container,76.1 MiB,77884,safe fuzzy exact/segment match,/Users/yaniv/Library/Application Support/Firefox,
Comet,ai.perplexity.comet,cache-like-inside-support,75.1 MiB,76908,cache-like descendant,/Users/yaniv/Library/Application Support/Comet/extensions_crx_cache,
Code,com.microsoft.VSCode,support/container,68.7 MiB,70360,safe fuzzy exact/segment match,/Users/yaniv/Library/Application Support/Code,
Arc,company.thebrowser.Browser,cache-like-inside-support,49.7 MiB,50848,cache-like descendant,/Users/yaniv/Library/Application Support/Arc/User Data/component_crx_cache,
Comet,ai.perplexity.comet,cache-like-inside-support,47.1 MiB,48272,cache-like descendant,/Users/yaniv/Library/Application Support/Comet/component_crx_cache,
Microsoft Excel,com.microsoft.Excel,support/container,46.3 MiB,47404,bundle-id container,/Users/yaniv/Library/Containers/com.microsoft.Excel,
Cursor,com.todesktop.230313mzl4w4u92,cache-like-inside-support,38.9 MiB,39792,cache-like descendant,/Users/yaniv/Library/Application Support/Cursor/CachedData,
OneDrive,com.microsoft.OneDrive,support/container,31.5 MiB,32212,safe fuzzy exact/segment match,/Users/yaniv/Library/Application Support/OneDrive,
Code - Insiders,com.microsoft.VSCodeInsiders,cache-like-inside-support,27.6 MiB,28236,cache-like descendant,/Users/yaniv/Library/Application Support/Code - Insiders/Cache,
Brave Browser,com.brave.Browser,cache-like-inside-support,24.7 MiB,25276,cache-like descendant,/Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser/component_crx_cache,
Dia,company.thebrowser.dia,cache-like-inside-support,24.3 MiB,24908,cache-like descendant,/Users/yaniv/Library/Application Support/Dia/User Data/component_crx_cache,
Google Chrome Canary,com.google.Chrome.canary,cache-like-inside-support,20.7 MiB,21240,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome Canary/extensions_crx_cache,
Google Chrome Canary,com.google.Chrome.canary,cache-like,19.2 MiB,19668,safe fuzzy exact/segment match,/Users/yaniv/Library/Caches/Google/Chrome Canary,
Opera,com.operasoftware.Opera,cache-like-inside-support,18.4 MiB,18796,cache-like descendant,/Users/yaniv/Library/Application Support/com.operasoftware.Opera/component_crx_cache,
Dia,company.thebrowser.dia,cache-like,18.3 MiB,18772,safe fuzzy exact/segment match,/Users/yaniv/Library/Caches/Dia,
Google Chrome,com.google.Chrome,cache-like-inside-support,14.5 MiB,14892,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/extensions_crx_cache,
Google Chrome,com.google.Chrome,cache-like-inside-support,14.5 MiB,14884,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/GPUCache,
