kind,size,size_kb,root,depth,path,nested_under,rollup_parent
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.extensionkit.AppExtensionManagement,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.ConfigurationProfiles.FollowUp,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.Time-Machine-Settings.extension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.FaceTime.RemotePeoplePicker,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.MediaPlayer.DiagnosticExtension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.wallpaper.extension.ca-package,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.weather.diagnosticextension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.siri.SiriVideoAppIntents,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.settings-intents.ScreenSaverIntents,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.settings-intents.LockScreenIntents,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.siri.AssistantSettingsControls,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.systempreferences.KeyboardSettingsExtension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.transcriptBackgroundPoster.DynamicExtension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.systempreferences.SharingSettingsIntents,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.Profiles-Settings.extension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.intelligenceflow.IntelligenceFlowRuntime.IntelligenceFlowDiagnostics,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.AskTo.AskToTestResponseUIExtension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.helpviewer.HelpViewer-Quicklook,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.WalletSettingsExtension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.Users-Groups-Settings.extension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.eventkit.CalendarDiagnosticExtension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.dp.PrivateFederatedLearning.DPMLRuntimePlugin,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.settings.PrivacySecurity.extension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.MADViewServiceExtension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.Sound-Settings.extension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.zeolite.ZeoliteExtension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.siri.OnDeviceAnalytics.SpeakerIdSamplingExtension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.StartupDisk.StartupDiskWidgetExtension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.Focus-Settings.extension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.summarization.SummarizationTool,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.DEC.AppPredictionInternal.DiagnosticExtension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.WorkflowUI.WidgetConfigurationExtension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.desktopsettings.DesktopSettingsIntents,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.PeopleMessageService.LegacyMessageService,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.mlhost.SampleWorker,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.zeolite.ZeoliteEvalExtension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.intelligenceplatform.IntelligencePlatform.DiagnosticExtension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.quicklook.thumbnail.OfficeExtension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.DiagnosticExtensions.BluetoothDiagnosticExtension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.DiagnosticExtensions.WiFi,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.GenerativePlaygroundApp.remoteUIExtension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.inputmethod.TransliterationIM,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.DiagnosticExtensions.StorageDESSD,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.MediaMLPluginApp.MediaMLPlugin,,false
